listing_id,date
4543503,2015-08-19
4543503,2015-08-24
4543503,2015-08-31
4543503,2015-09-09
7170569,2015-07-28
7170569,2015-08-03
7170569,2015-08-16
7170569,2015-08-23
7170569,2015-08-25
7170569,2015-10-01
3737811,2014-08-14
3737811,2014-08-31
3737811,2014-10-19
3737811,2014-11-30
3737811,2015-02-07
3737811,2015-05-19
3737811,2015-05-28
3737811,2015-06-04
3737811,2015-06-06
3737811,2015-06-07
3737811,2015-06-13
3737811,2015-06-18
3737811,2015-06-20
3737811,2015-07-20
3737811,2015-07-30
3737811,2015-09-01
3737811,2015-09-06
3737811,2015-09-15
7263783,2015-08-05
7263783,2015-08-13
7263783,2015-08-14
7263783,2015-08-15
7263783,2015-08-17
7263783,2015-08-23
7263783,2015-08-24
7263783,2015-08-29
7263783,2015-09-13
7728240,2015-08-11
7728240,2015-08-17
7728240,2015-08-20
7728240,2015-08-22
7728240,2015-08-25
7728240,2015-08-27
3039983,2015-07-01
3039983,2015-07-20
3039983,2015-08-03
3039983,2015-08-09
3039983,2015-08-13
3039983,2015-08-17
3039983,2015-08-23
3039983,2015-08-29
3039983,2015-08-31
7731196,2015-08-23
7731196,2015-08-31
7731196,2015-09-07
7731196,2015-09-13
1082367,2013-06-22
1082367,2015-08-09
4587493,2015-04-20
4587493,2015-04-29
4587493,2015-06-01
4587493,2015-07-01
4743021,2015-05-25
4743021,2015-06-07
4743021,2015-06-18
4743021,2015-07-01
4743021,2015-07-03
4743021,2015-07-09
4743021,2015-07-15
4743021,2015-07-24
4743021,2015-08-03
4743021,2015-08-09
4743021,2015-08-17
4743021,2015-08-24
4743021,2015-09-10
4743021,2015-09-21
697327,2013-08-07
697327,2013-08-22
697327,2013-09-05
697327,2014-09-17
697327,2015-08-04
7584366,2015-08-23
5048292,2015-03-21
5048292,2015-04-02
5048292,2015-04-25
5048292,2015-05-03
5048292,2015-05-08
5048292,2015-05-12
5048292,2015-05-25
5048292,2015-06-04
5048292,2015-06-14
5048292,2015-06-18
5048292,2015-06-28
5048292,2015-07-03
5048292,2015-07-05
5048292,2015-07-24
5048292,2015-07-26
6073494,2015-05-19
3645904,2014-08-12
3645904,2014-08-19
3645904,2015-08-25
6545739,2015-06-01
6545739,2015-06-09
6545739,2015-06-25
6545739,2015-07-03
6545739,2015-07-20
6545739,2015-08-07
6545739,2015-08-12
6545739,2015-08-16
6545739,2015-08-19
6545739,2015-08-27
6545739,2015-08-31
6545739,2015-09-08
6545739,2015-09-16
6545739,2015-09-21
3612525,2014-08-05
3612525,2014-09-04
3612525,2014-09-25
3612525,2014-12-14
3612525,2015-01-03
3612525,2015-07-12
3612525,2015-08-03
6168262,2015-05-27
6168262,2015-06-01
6168262,2015-06-08
6749833,2015-08-11
2506458,2015-06-09
2506458,2015-06-15
2506458,2015-08-04
2506458,2015-09-08
795986,2012-11-26
795986,2013-01-22
795986,2013-02-26
795986,2013-03-18
795986,2013-04-10
795986,2013-11-04
795986,2013-12-02
795986,2014-01-01
795986,2014-08-11
795986,2015-05-11
795986,2015-06-06
795986,2015-08-04
795986,2015-09-07
4348988,2014-11-21
4348988,2014-12-18
4348988,2014-12-29
4348988,2015-01-09
4348988,2015-01-12
4348988,2015-01-18
4348988,2015-01-23
4348988,2015-01-25
4348988,2015-02-15
4348988,2015-02-19
4348988,2015-02-23
4348988,2015-09-04
7604076,2015-08-02
6731165,2015-06-30
6731165,2015-07-01
6731165,2015-07-04
6731165,2015-07-05
6731165,2015-08-03
6731165,2015-08-09
6731165,2015-08-14
6731165,2015-09-07
6731165,2015-09-21
6424036,2015-07-04
6424036,2015-07-11
6424036,2015-07-18
6424036,2015-07-22
6424036,2015-07-30
6424036,2015-08-03
6424036,2015-08-07
